"Date","Price","Open","High","Low","Vol.","Change %"
"May 01, 2019","9.00","9.04","9.04","9.00","2.37K","0.00%"
"Apr 30, 2019","9.00","8.86","9.07","8.58","11.52K","4.65%"
"Apr 29, 2019","8.60","8.56","8.60","8.56","0.59K","0.47%"
"Apr 26, 2019","8.56","8.59","8.80","8.55","14.65K","0.00%"
"Apr 25, 2019","8.56","8.60","8.93","8.56","2.88K","0.71%"
"Apr 24, 2019","8.50","8.32","8.99","8.32","2.62K","-7.41%"
"Apr 23, 2019","9.18","9.13","9.18","8.31","1.93K","11.14%"
"Apr 22, 2019","8.26","9.15","9.15","8.26","0.85K","0.00%"
"Apr 18, 2019","8.26","8.30","8.31","8.26","2.58K","-0.60%"
"Apr 17, 2019","8.31","9.25","9.25","8.25","32.62K","-0.95%"
"Apr 16, 2019","8.39","8.31","9.48","8.31","6.07K","-11.50%"
"Apr 15, 2019","9.48","8.30","9.48","8.30","0.76K","10.62%"
"Apr 12, 2019","8.57","10.44","10.44","8.56","7.10K","0.23%"
"Apr 11, 2019","8.55","8.50","8.60","8.50","6.20K","-0.47%"
"Apr 10, 2019","8.59","8.55","8.59","8.55","0.63K","1.06%"
"Apr 09, 2019","8.50","8.81","8.81","8.34","49.74K","-3.74%"
"Apr 08, 2019","8.83","8.80","9.00","8.40","43.61K","-1.89%"
"Apr 05, 2019","9.00","8.47","9.00","8.30","22.81K","5.51%"
"Apr 04, 2019","8.53","8.46","8.53","8.46","18.20K","0.12%"
"Apr 03, 2019","8.52","8.60","9.50","8.50","16.90K","0.71%"
"Apr 02, 2019","8.46","8.50","8.51","8.46","7.05K","1.93%"
"Apr 01, 2019","8.30","9.75","9.75","8.25","6.86K","-14.87%"
"Mar 29, 2019","9.75","9.75","9.75","9.75","-","-2.79%"
"Mar 28, 2019","10.03","10.02","10.03","10.02","1.42K","0.20%"
"Mar 27, 2019","10.01","10.02","10.02","10.01","1.46K","0.00%"
"Mar 26, 2019","10.01","10.00","10.62","10.00","2.70K","0.20%"
"Mar 25, 2019","9.99","10.03","10.47","9.97","4.18K","0.30%"
"Mar 22, 2019","9.96","10.46","10.46","9.95","0.76K","-1.39%"
"Mar 21, 2019","10.10","10.00","11.00","10.00","2.96K","-8.18%"
"Mar 20, 2019","11.00","11.50","11.57","11.00","1.23K","-4.35%"
"Mar 19, 2019","11.50","11.50","11.50","11.50","-","-2.95%"
"Mar 18, 2019","11.85","11.85","11.85","11.85","-","-0.50%"
"Mar 15, 2019","11.91","11.91","11.91","11.91","-","0.00%"
"Mar 14, 2019","11.91","12.01","12.01","11.91","1.89K","-0.33%"
