ID,StockName,Date,OpeningPrice,ClosingPrice,Volume,VolumeNumeric,Sentiment,PercentageChange,Direction
29,MNRB,19-Jul-18,1.71,1.529,8.79,8790000,0,0.64,UP
48,TAKAFUL,24-Apr-19,5.34,5.53,4.72,4720000,0.25,-0.29,DOWN
45,TAKAFUL,21-Mar-19,4.56,4.65,4.06,4060000,0,-0.29,DOWN
46,TAKAFUL,21-Mar-19,4.56,4.65,4.06,4060000,0,1.45,UP
56,TUNEPRO,12-Mar-19,0.705,0.69,3.85,3850000,0,1.45,UP
43,TAKAFUL,28-Jan-19,4.13,4.26,3.47,3470000,0.126491106,3.43,UP
51,TUNEPRO,20-Feb-19,0.655,0.675,3.08,3080000,0.585021367,3.43,UP
54,TUNEPRO,25-Feb-19,0.68,0.675,2.6,2600000,0.141421356,-0.14,DOWN
47,TAKAFUL,22-Mar-19,4.74,4.64,2.31,2310000,0,-0.37,DOWN
34,MNRB,24-Sep-18,1.1,1.077,2.01,2010000,0,-0.37,DOWN
25,MAA,1-Mar-19,1.02,1,11.29,11290000,0.389711432,-0.37,DOWN
26,MAA,1-Mar-19,1.02,1,11.29,11290000,0.416666667,0.64,UP
38,MNRB,1-Mar-19,1.07,1.04,10.93,10930000,0.115470054,0.64,UP
33,MNRB,21-Sep-18,1.137,1.107,1.7,1700000,-0.316227766,0.64,UP
44,TAKAFUL,22-Feb-19,4.42,4.49,1.48,1480000,0,0,DOWN
31,MNRB,13-Sep-18,1.167,1.22,1.26,1260000,-0.083333333,0,DOWN
32,MNRB,13-Sep-18,1.167,1.22,1.26,1260000,0,0,DOWN
49,TUNEPRO,15-Jan-19,0.615,0.61,1.26,1260000,0,1.18,UP
50,TUNEPRO,15-Jan-19,0.615,0.61,1.26,1260000,0.333333333,1.18,UP
55,TUNEPRO,7-Mar-19,0.66,0.645,1.2,1200000,0.353553391,1.16,UP
35,MNRB,25-Jan-19,1.05,1.08,674.2,674200,-0.106066017,50,UP
36,MNRB,25-Jan-19,1.05,1.08,674.2,674200,0,50,UP
37,MNRB,25-Jan-19,1.05,1.08,674.2,674200,0,50,UP
52,TUNEPRO,22-Feb-19,0.68,0.675,583.4,583400,0.115470054,50,UP
53,TUNEPRO,22-Feb-19,0.68,0.675,583.4,583400,0.068033605,11.11,UP
30,MNRB,12-Sep-18,1.167,1.167,425.12,425120,0,11.11,UP
40,MPHBCAP,15-Jan-19,1.03,1.04,355,355000,0,-0.36,DOWN
2,ALLIANZ,29-Jan-19,13.64,13.6,261.4,261400,-0.178885438,0,DOWN
3,ALLIANZ,29-Jan-19,13.64,13.6,261.4,261400,0.204124145,-13.22,DOWN
20,MAA,11-Dec-18,0.43,0.435,205.9,205900,0.033333333,0,DOWN
21,MAA,28-Feb-19,0.9,0.9,113,113000,0.166666667,4.54,UP
22,MAA,28-Feb-19,0.9,0.9,113,113000,0.075377836,4.54,UP
23,MAA,28-Feb-19,0.9,0.9,113,113000,0.141421356,-1.34,DOWN
24,MAA,28-Feb-19,0.9,0.9,113,113000,0,-2.71,DOWN
39,MPHBCAP,23-Aug-18,1.26,1.27,110.3,110300,0,3.85,UP
9,LPI,30-Jan-19,16.5,16.32,104.6,104600,0,3.85,UP
10,LPI,30-Jan-19,16.5,16.32,104.6,104600,0,3.85,UP
11,LPI,30-Jan-19,16.5,16.32,104.6,104600,0,-16.13,DOWN
6,ALLIANZ,22-Feb-19,14.12,14.48,95.2,95200,0.208012574,1.6,UP
7,ALLIANZ,22-Feb-19,14.12,14.48,95.2,95200,0.028867513,0.97,UP
15,LPI,16-Apr-19,15.76,15.68,62.1,62100,0.088388348,0,DOWN
16,LPI,16-Apr-19,15.76,15.68,62.1,62100,-0.204124145,0,DOWN
17,LPI,16-Apr-19,15.76,15.68,62.1,62100,0.141421356,3.9,UP
42,P&O,4-Jan-19,1,1,56.3,56300,0.758946638,0.9,UP
4,ALLIANZ,21-Feb-19,13.8,14,54.2,54200,0,3.79,UP
5,ALLIANZ,21-Feb-19,13.8,14,54.2,54200,0,3.79,UP
12,LPI,15-Apr-19,15.66,15.68,25.7,25700,0.247487373,-0.22,DOWN
13,LPI,15-Apr-19,15.66,15.68,25.7,25700,0,4.54,UP
14,LPI,15-Apr-19,15.66,15.68,25.7,25700,0.516666667,-0.81,DOWN
41,P&O,1-Aug-18,1.05,1.05,24.9,24900,0.25,-0.81,DOWN
8,ALLIANZ,25-Feb-19,14.44,14.46,23.6,23600,0,3.85,UP
18,MAA,10-Dec-18,0.405,0.43,14.3,14300,0,-1.46,DOWN
19,MAA,10-Dec-18,0.405,0.43,14.3,14300,0.25,-1.46,DOWN
1,ALLIANZ,5-Dec-18,12.5,12.58,6.9,6900,0.25,0,DOWN
27,MANULFE,21-Aug-18,2.77,2.77,4,4000,0.407040315,-1.53,DOWN
28,MANULFE,1-Mar-19,2.6,2.59,1,1000,0.25,-0.72,DOWN
