"","ï..Date","Price","Open","High","Low","Vol.","Change..","new_date","stock_name","Direction"
"1","Apr 25, 2019",13.6,13.58,13.62,13.54,"209.70K",0,2019-04-25,"ALLIANZ","DOWN"
"2","Apr 24, 2019",13.6,13.7,13.7,13.6,"11.30K",-0.73,2019-04-24,"ALLIANZ","DOWN"
"3","Apr 23, 2019",13.7,13.6,13.86,13.42,"18.30K",0,2019-04-23,"ALLIANZ","DOWN"
"4","Apr 22, 2019",13.7,13.54,13.7,13.32,"10.20K",1.18,2019-04-22,"ALLIANZ","UP"
"5","Apr 19, 2019",13.54,13.5,13.6,13.5,"49.50K",1.04,2019-04-19,"ALLIANZ","UP"
"6","Apr 18, 2019",13.4,13.5,13.5,13.36,"35.30K",-1.47,2019-04-18,"ALLIANZ","DOWN"
"7","Apr 17, 2019",13.6,13.94,13.98,13.6,"32.80K",-2.58,2019-04-17,"ALLIANZ","DOWN"
"8","Apr 16, 2019",13.96,14.2,14.2,13.64,"37.30K",-1.69,2019-04-16,"ALLIANZ","DOWN"
"9","Apr 15, 2019",14.2,14.26,14.26,14.18,"2.80K",-0.56,2019-04-15,"ALLIANZ","DOWN"
"10","Apr 12, 2019",14.28,14.38,14.38,14.28,"3.30K",-0.7,2019-04-12,"ALLIANZ","DOWN"
"11","Apr 11, 2019",14.38,14.4,14.4,14.38,"2.60K",-0.14,2019-04-11,"ALLIANZ","DOWN"
"12","Apr 10, 2019",14.4,14.46,14.46,14.4,"0.40K",-0.55,2019-04-10,"ALLIANZ","DOWN"
"13","Apr 08, 2019",14.48,14.5,14.5,14.48,"7.20K",-0.14,2019-04-08,"ALLIANZ","DOWN"
"14","Apr 05, 2019",14.5,14.5,14.5,14.5,"0.30K",-0.28,2019-04-05,"ALLIANZ","DOWN"
"15","Apr 04, 2019",14.54,14.56,14.56,14.54,"1.20K",-0.14,2019-04-04,"ALLIANZ","DOWN"
"16","Apr 03, 2019",14.56,14.5,14.56,14.5,"2.70K",0.41,2019-04-03,"ALLIANZ","UP"
"17","Apr 02, 2019",14.5,14.52,14.52,14.5,"1.50K",0.69,2019-04-02,"ALLIANZ","UP"
"18","Apr 01, 2019",14.4,14.44,14.48,14.4,"5.60K",-0.69,2019-04-01,"ALLIANZ","DOWN"
"19","Mar 29, 2019",14.5,14.5,14.5,14.5,"1.50K",0,2019-03-29,"ALLIANZ","DOWN"
"20","Mar 28, 2019",14.5,14.5,14.5,14.5,"1.00K",0,2019-03-28,"ALLIANZ","DOWN"
"21","Mar 27, 2019",14.5,14.56,14.56,14.5,"2.20K",0.14,2019-03-27,"ALLIANZ","UP"
"22","Mar 26, 2019",14.48,14.5,14.5,14.48,"2.00K",-0.14,2019-03-26,"ALLIANZ","DOWN"
"23","Mar 25, 2019",14.5,14.64,14.64,14.5,"1.30K",1.4,2019-03-25,"ALLIANZ","UP"
"24","Mar 22, 2019",14.3,14.58,14.6,14.3,"21.60K",-1.24,2019-03-22,"ALLIANZ","DOWN"
"25","Mar 21, 2019",14.48,14.52,14.52,14.46,"114.30K",0.56,2019-03-21,"ALLIANZ","UP"
"26","Mar 20, 2019",14.4,14.42,14.5,14.38,"235.90K",-0.41,2019-03-20,"ALLIANZ","DOWN"
"27","Mar 19, 2019",14.46,14.66,14.66,14.4,"16.00K",0.42,2019-03-19,"ALLIANZ","UP"
"28","Mar 18, 2019",14.4,14.5,14.5,14.4,"141.10K",-0.14,2019-03-18,"ALLIANZ","DOWN"
"29","Mar 15, 2019",14.42,14.48,14.48,14.4,"8.90K",0.42,2019-03-15,"ALLIANZ","UP"
"30","Mar 14, 2019",14.36,14.5,14.5,14.3,"127.20K",0,2019-03-14,"ALLIANZ","DOWN"
"31","Mar 13, 2019",14.36,14.58,14.58,14.3,"76.80K",0.42,2019-03-13,"ALLIANZ","UP"
"32","Mar 12, 2019",14.3,14.46,14.46,14.26,"54.80K",0.28,2019-03-12,"ALLIANZ","UP"
"33","Mar 11, 2019",14.26,14.32,14.32,14.26,"108.60K",-0.56,2019-03-11,"ALLIANZ","DOWN"
"34","Mar 08, 2019",14.34,14.34,14.4,14.34,"7.50K",0,2019-03-08,"ALLIANZ","DOWN"
"35","Mar 07, 2019",14.34,14.3,14.46,14.3,"67.40K",0.28,2019-03-07,"ALLIANZ","UP"
"36","Mar 06, 2019",14.3,14.3,14.4,14.28,"234.70K",0,2019-03-06,"ALLIANZ","DOWN"
"37","Mar 05, 2019",14.3,14.3,14.46,14.28,"131.60K",0,2019-03-05,"ALLIANZ","DOWN"
"38","Mar 04, 2019",14.3,14.28,14.38,14.28,"83.40K",0,2019-03-04,"ALLIANZ","DOWN"
