Open,High,Low,Volume,Direction
14.87,14.87,14.87,1000,1
14.87,15.1,14.87,550,1
15.1,15.27,15.1,480,1
15.37,15.37,15.37,160,1
15.36,15.36,15.36,800,0
15.61,15.61,14.99,9630,0
15.1,15.1,15.1,200,1
15.15,15.15,15.15,540,1
15.2,15.2,15.2,1470,1
15.25,15.35,15.19,3820,0
15.1,15.11,15.1,380,0
15.2,15.2,15.2,180,1
15.2,15.2,15.2,680,0
15.2,15.32,15.2,300,1
15.3,15.3,14.94,880,0
15.09,15.09,15.09,880,1
15.47,15.47,15.45,2200,1
15.47,15.47,15.46,430,1
15.47,15.72,15.47,330,1
15.65,15.72,15.6,300,0
15.72,15.72,15.7,930,0
15.72,15.91,15.69,1070,1
15.75,15.76,15.75,880,0
15.69,15.69,15.69,270,0
15.76,15.76,15.69,2250,0
15.86,15.91,15.86,600,1
15.76,15.76,15.76,390,0
15.29,15.67,15.29,2220,0
15.5,15.5,15.4,11850,1
15.45,15.45,15.45,200,1
15.55,15.58,15.55,3370,1
15.58,15.58,15.58,300,0
15.89,15.89,15.89,270,1
15.81,15.81,15.81,120,0
15.3,15.49,15.3,1160,0
15.54,15.54,15.54,510,1
15.39,15.41,15.39,950,0
15.71,15.71,15.71,230,1
15.69,15.69,15.69,130,0
15.41,15.46,15.41,520,0
15.42,15.55,15.4,12330,1
15.5,15.5,15.5,260,0
15.15,15.15,15.15,330,0
15.39,15.56,15.39,300,1
15.28,15.28,15.28,170,0
15.56,15.56,15.56,400,1
15.26,15.56,15.26,1860,0
15.45,15.45,15.37,2170,0
15.5,15.56,15.49,650,1
15.5,15.5,15.5,2000,0
15.56,15.56,15.56,2030,1
15.73,15.73,15.73,190,1
15.46,15.46,15.46,330,0
15.36,15.41,15.36,9220,0
15.21,15.21,15.21,220,0
15.09,15.09,15.09,2940,0
15.25,15.25,15.25,970,1
15.28,15.28,15.28,210,1
15.23,15.4,15.23,800,1
15.16,15.16,15.16,540,0
15.15,15.39,15.15,4750,1
15.25,15.25,15.25,220,0
14.45,14.45,14.45,160,0
14.54,14.54,14.54,1440,1
14.4,14.4,14.4,1000,0
14.65,14.9,14.65,250,1
14.32,14.37,14.32,540,0
14.31,14.31,14.31,680,0
14.3,14.3,14.3,100,0
14.48,14.69,14.31,1190,1
14.44,14.44,14.31,250,0
14.46,14.46,14.46,100,1
14.69,14.73,14.69,520,1
14.56,14.59,14.51,4720,0
14.27,14.27,14.27,170,0
14.14,14.14,14.14,680,0
14.27,14.27,14.27,1530,1
13.88,13.9,13.88,900,0
13.83,13.83,13.83,390,0
13.42,13.73,13.42,1130,0
14.03,14.03,13.7,1750,0
14.08,14.33,14.08,2540,1
14.27,14.27,14.27,170,0
14.38,14.38,14.38,100,1
14.33,14.33,14.33,250,0
15.14,15.14,15.14,150,1
14.38,14.38,14.38,3900,0
14.45,14.45,14.45,230,1
14.14,14.25,14.14,1140,0
13.84,13.86,13.84,1100,0
13.7,13.7,13.7,220,0
13.93,13.93,13.93,380,1
13.54,13.59,13.54,710,0
13.45,13.45,13.43,850,0
13.85,13.85,13.85,-,1
14.19,14.19,14,2070,1
14.12,14.15,14.11,2700,1
13.62,13.62,13.62,4210,0
13.79,13.79,13.79,140,1
13.45,13.55,13.45,620,0
13.89,13.89,13.89,250,1
13.47,13.5,13.47,2260,0
13.46,13.46,13.28,860,0
13.03,13.03,13.03,1110,0
12.93,12.93,12.82,5460,0
12.96,12.97,12.96,910,1
12.8,12.8,12.8,220,0
12.77,12.77,12.77,370,0
12.56,12.59,12.56,1850,0
12.45,12.45,12.45,890,0
12.66,12.66,12.66,11060,1
12.91,13.03,12.9,1200,1
12.8,13.04,12.74,1050,0
13.06,13.06,12.8,890,0
12.77,12.85,12.77,2030,1
12.89,12.89,12.8,500,0
12.89,12.89,12.89,240,1
12.79,12.79,12.79,130,0
12.79,12.79,12.72,3360,0
12.62,12.62,12.62,500,0
12.07,12.26,12.07,560,0
11.8,11.8,11.71,2360,0
11.9,12,11.9,690,1
12.22,12.22,12.22,400,1
12.11,12.11,12.11,390,0
12.11,12.21,12.11,940,1
12.23,12.23,12.23,410,1
11.99,11.99,11.99,100,0
11.81,11.81,11.81,1120,0
11.88,11.88,11.71,650,0
11.51,11.61,11.51,1210,0
11.73,11.89,11.73,810,1
11.98,12.18,11.98,780,1
12.35,12.35,12.33,730,1
12.01,12.27,12.01,2180,0
12.13,12.13,12.13,240,0
12.41,12.43,12.22,2750,1
12.21,12.21,12.21,930,0
12.12,12.25,12.12,2700,1
12.14,12.14,12.14,1200,0
12.29,12.29,12.29,166020,1
12.34,12.36,12.32,176540,1
12.4,12.51,12.3,3730,0
12.19,12.19,12.19,200,0
12.25,12.26,12.1,410,0
12.05,12.08,12.01,1750,0
12.08,12.1,12.08,850,1
12.14,12.14,12.14,260,1
12.08,12.14,12.08,390,0
12,12.11,12,630,0
12.01,12.01,12.01,100,0
12.53,12.55,12.35,6080,1
12.58,12.62,12.58,1650,1
12.39,12.39,12.39,4650,0
12.34,12.49,12.14,8530,1
12.37,12.37,12.23,200,0
12,12.02,12,6140,0
11.83,11.83,11.83,1710,0
11.5,11.5,11.5,260,0
11.47,11.53,11.47,300,1
11.27,11.31,11.2,2150,0
11.13,11.13,10.98,950,0
11.25,11.25,11.25,260,1
11.15,11.15,11.15,680,0
11.46,11.5,11.46,850,1
11.4,11.4,11.13,960,0
11.75,11.75,11.75,1000,1
11.77,12.13,11.42,8250,1
12.2,12.2,12.2,140,1
11.7,11.74,11.7,870,0
12.33,12.35,12.25,2250,1
12.51,12.51,12.5,1170,1
12.6,12.6,12.6,2460,1
12.44,12.44,12.44,2900,0
12.15,12.15,12.15,100,0
12,12,11.95,300,0
11.85,11.85,11.85,220,0
12.11,12.11,11.97,3500,1
11.93,11.93,11.93,200,0
12,12,12,280,1
12.46,12.46,12.4,1080,1
12.58,12.58,12.58,6640,1
12.45,12.69,12.45,570,1
12.72,12.72,12.68,750,0
12.62,12.62,12.62,450,0
12.63,12.63,12.63,100,1
12.38,12.38,12.11,690,0
12.3,12.3,12.3,500,1
12.2,12.2,12.06,230,0
12.49,12.49,12.49,9200,1
12.27,12.34,12.17,5480,0
12.22,12.22,12.22,180,1
12.74,12.9,12.74,1730,1
12.53,12.57,12.53,260,0
12.72,12.72,12.72,100,1
12.28,12.28,12.28,850,0
12.06,12.07,11.99,1850,0
12,12,12,1300,0
11.74,11.74,11.74,500,0
11.58,11.73,11.58,1850,0
11.52,11.52,11.49,1010,0
11.45,11.45,11.45,1260,0
11.38,11.45,11.38,7790,0
11.15,11.16,11.15,890,0
10.82,10.99,10.82,1270,0
11.06,11.06,11.06,200,1
11.11,11.11,11.11,360,1
11.02,11.02,11.02,150,0
10.95,10.95,10.95,8450,0
10.95,10.95,10.9,30050,0
10.82,10.84,10.82,1100,0
10.89,10.89,10.89,250,1
10.57,10.57,10.57,1810,0
10.81,10.81,10.81,120,1
10.9,10.9,10.89,200,1
10.87,10.87,10.87,100,0
10.65,10.73,10.61,1750,0
10.97,10.97,10.64,910,0
11.03,11.06,11.02,1180,1
10.77,10.77,10.77,1000,0
10.88,10.88,10.88,500,1
10.5,10.5,10.5,200,0
10.43,10.43,10.43,300,0
10.53,10.53,10.53,900,1
10.17,10.17,9.97,8800,0
9.78,9.78,9.78,1200,0
9.78,9.78,9.48,8200,0
9.21,9.23,9.08,3550,0
8.87,8.87,8.75,19050,0
8.49,8.52,8.49,450,0
8.47,8.47,7.9,300,0
8.31,8.31,8.31,100,1
8.05,8.05,8.04,1000,0
8.21,8.21,8.12,3800,1
8.08,8.09,8.08,350,0
8.05,8.05,8.05,3780,0
8.1,8.1,7.79,860,0
8.36,8.36,8.16,1400,1
8.57,8.57,8.57,700,1
8.61,8.61,8.61,850,1
9.18,9.18,9.12,348700,1
9.2,9.2,9.2,380,1
8.31,8.31,8.31,250,0
7.83,7.83,7.83,350,0
8.52,8.52,8.52,160,1
8.92,8.92,8.92,300,1
8.94,9.12,8.94,800,1
9.39,9.39,9.37,1000,1
9.18,9.18,9.05,3350,0
8.98,8.98,8.98,600,0
8.77,8.79,8.76,2030,0
9.01,9.01,8.76,1220,0
8.77,8.77,8.77,110,1
8.77,8.77,8.77,230,0
8.82,8.82,8.8,1000,1
9.22,9.22,9.22,280,1
8.92,8.92,8.92,100,0
8.73,8.73,8.73,280,0
8.55,8.55,8.55,920,0
8.58,8.58,8.58,300,1
8.59,8.59,8.59,460,1
8.38,8.38,8.38,190,0
8.51,8.61,8.51,2070,1
8.21,8.24,8.21,620,0
8,8,7.95,3050,0
8.08,8.08,8.07,700,1
8.15,8.28,8.15,4390,1
8.12,8.36,8.12,330,1
8.42,8.42,8.42,600,1
8.44,8.44,8.44,300,1
8.33,8.33,8.33,1050,0
8.53,8.53,8.53,300,1
7.81,7.95,7.81,2000,0
9.28,9.28,9.28,130,1
9.32,9.32,9.32,1100,1
9.05,9.05,9.05,330,0
8.76,8.76,8.76,300,0
9.34,9.41,9.34,1800,1
9.42,9.42,9.42,420,1
9.62,9.62,9.62,130,1
9.47,9.47,9.43,1200,0
9.55,9.55,9.55,750,1
9.3,9.3,9.3,2640,0
9.4,9.4,9.4,100,1
9.73,10.07,9.73,2890,1
10.1,10.1,10.1,260,1
10.5,10.5,10.45,7200,1
10.33,10.33,10.33,100,0
10.75,10.75,10.75,200,1
10.98,10.98,10.98,200,1
11.32,11.32,11.32,300,1
11.88,11.88,11.88,200,1
12.09,12.09,12.09,950,1
12.34,12.34,12.34,1400,1
12.17,12.17,12.16,10640,0
11.53,11.95,11.53,1600,0
11.9,11.9,11.9,120,0
12.62,12.62,12.62,280,1
10.51,10.51,10.47,420,0
10.42,10.42,10.42,320,0
10.13,10.13,10.13,300,0
10.24,10.25,10.06,20850,1
10.68,10.7,10.5,4300,1
10.59,10.64,10.4,1700,0
10.52,10.52,10.45,400,1
10.61,10.61,10.59,4430,1
10.25,10.27,10.23,7080,0
10.14,10.14,10.03,3140,0
9.95,9.95,9.89,410,0
9.88,9.88,9.57,3160,0
9.92,9.92,9.91,780,1
10.29,10.3,10.2,2050,1
10.21,10.27,10.21,300,1
10.38,10.38,10.37,1980,1
10.08,10.41,10.08,1840,1
9.08,9.79,9.08,5680,0
9.65,9.79,9.65,30640,1
10,10,9.67,2080,1
10,10,10,910,1
10.04,10.09,10.04,480,1
9.92,9.92,9.92,250,0
9.75,9.89,9.75,1470,0
9.92,9.99,9.92,420,1
9.83,9.83,9.81,1320,0
10.13,10.13,10.13,1000,1
10.29,10.29,10.19,900,1
10.58,10.64,10.58,2770,1
10.69,10.8,10.69,1480,1
11.21,11.21,11.21,570,1
11.06,11.26,10.87,1450,0
11.01,11.01,11.01,100,0
10.94,10.96,10.5,6330,0
10.65,10.68,10.24,6190,0
10.67,10.67,10.5,9620,1
10.6,10.6,10.6,200,1
10.12,10.17,10.12,200,0
10.12,10.12,10.12,100,0
10.13,10.13,10.13,250,1
10.12,10.16,10.12,300,1
10.3,10.3,10.3,2500,1
10.3,10.3,10.28,210,0
10.25,10.25,10.25,100,0
10.25,10.25,10.25,200,0
10.3,10.3,10.3,350,1
10.32,10.32,10.32,2150,1
10.12,10.12,10.12,500,0
10.13,10.13,10.13,150,1
9.95,10,9.95,910,0
9.85,9.92,9.85,1790,0
9.67,9.8,9.67,5660,0
9.67,9.67,9.67,1400,0
9.65,9.65,9.65,2520,0
9.59,9.61,9.59,400,0
9.6,9.6,9.6,130,0
9.69,9.7,9.69,400,1
9.5,9.5,9.5,100,0
9.5,9.5,9.5,300,0
9.77,9.82,9.77,300,1
9.78,9.78,9.78,100,0
9.5,9.52,9.5,1770,0
9.47,9.63,9.47,900,1
