070322|A50CHIN-C22|0.215|0.000|0.000|0.000|0.00|0
070324|A50CHIN-C24|0.815|0.000|0.000|0.000|0.00|0
070326|A50CHIN-C26|0.495|0.000|0.000|0.000|0.00|0
070328|A50CHIN-C28|0.250|0.255|0.250|0.000|0.00|3,768
070330|A50CHIN-C30|0.340|0.345|0.335|-0.005|-1.47|5,784
070332|A50CHIN-C32|0.720|0.000|0.000|0.000|0.00|0
070334|A50CHIN-C34|1.010|0.000|0.000|0.000|0.00|0
070336|A50CHIN-C36|0.565|0.570|0.560|-0.005|-0.88|4,254
070338|A50CHIN-C38|0.235|0.235|0.230|-0.005|-2.13|170,190
070321|A50CHIN-H21|0.050|0.000|0.000|0.000|0.00|0
070323|A50CHIN-H23|0.005|0.000|0.000|0.000|0.00|0
070325|A50CHIN-H25|0.035|0.000|0.000|0.000|0.00|0
070327|A50CHIN-H27|0.070|0.060|0.065|-0.005|-7.14|5,083
070329|A50CHIN-H29|0.375|0.375|0.380|+0.005|+1.33|177,715
7054|AASIA|0.160|0.160|0.160|0.000|0.00|221
5238|AAX|0.250|0.255|0.255|+0.005|+2.00|79,270
523820|AAX-C20|0.005|0.000|0.000|0.000|0.00|0
523821|AAX-C21|0.005|0.000|0.000|0.000|0.00|0
5238WA|AAX-WA|0.050|0.050|0.050|0.000|0.00|8,000
0800EA|ABFMY1|1.173|0.000|0.000|0.000|0.00|0
7086|ABLEGRP|0.070|0.075|0.075|+0.005|+7.14|1,500
2488|ABMB|4.200|4.170|4.160|-0.040|-0.95|4,815
2488CY|ABMB-CY|0.100|0.000|0.000|0.000|0.00|0
7131|ACME|0.250|0.000|0.000|0.000|0.00|0
7120|ACOSTEC|0.430|0.425|0.430|0.000|0.00|13,870
5281|ADVCON|0.420|0.420|0.425|+0.005|+1.19|9,909
7191|ADVENTA|0.350|0.350|0.360|+0.010|+2.86|25
9148|ADVPKG|1.810|1.850|1.860|+0.050|+2.76|1,419
7146|AEM|0.110|0.105|0.105|-0.005|-4.55|1,000
7146WA|AEM-WA|0.005|0.005|0.005|0.000|0.00|2,000
0181|AEMULUS|0.255|0.255|0.255|0.000|0.00|7,963
6599|AEON|1.540|1.540|1.530|-0.010|-0.65|263
6599CO|AEON-CO|0.035|0.045|0.040|+0.005|+14.29|3,051
6599CP|AEON-CP|0.050|0.000|0.000|0.000|0.00|0
6599CQ|AEON-CQ|0.030|0.000|0.000|0.000|0.00|0
5139|AEONCR|17.100|17.100|17.120|+0.020|+0.12|231
5139LA|AEONCR-LA|1.560|0.000|0.000|0.000|0.00|0
5185|AFFIN|2.240|2.240|2.240|0.000|0.00|732
5198|AFUJIYA|0.505|0.495|0.520|+0.015|+2.97|160
7315|AHB|0.135|0.145|0.150|+0.015|+11.11|77,600
7315WB|AHB-WB|0.010|0.015|0.015|+0.005|+50.00|163,141
7090|AHEALTH|9.200|9.400|9.250|+0.050|+0.54|77
4952|AHP|0.760|0.765|0.765|+0.005|+0.66|47
0122|AIM|0.250|0.000|0.000|0.000|0.00|0
5099|AIRASIA|2.770|2.800|2.790|+0.020|+0.72|39,986
509959|AIRASIAC59|0.020|0.000|0.000|0.000|0.00|0
509967|AIRASIAC67|0.095|0.100|0.090|-0.005|-5.26|6,654
509968|AIRASIAC68|0.005|0.000|0.000|0.000|0.00|0
509969|AIRASIAC69|0.005|0.000|0.000|0.000|0.00|0
509970|AIRASIAC70|0.010|0.005|0.005|-0.005|-50.00|6,000
509971|AIRASIAC71|0.080|0.080|0.075|-0.005|-6.25|10,184
509972|AIRASIAC72|0.190|0.000|0.000|0.000|0.00|0
509973|AIRASIAC73|0.205|0.000|0.000|0.000|0.00|0
509974|AIRASIAC74|0.340|0.335|0.325|-0.015|-4.41|300
509975|AIRASIAC75|0.145|0.000|0.000|0.000|0.00|0
509976|AIRASIAC76|0.070|0.000|0.000|0.000|0.00|0
509977|AIRASIAC77|0.075|0.075|0.075|0.000|0.00|4,280
509978|AIRASIAC78|0.105|0.100|0.100|-0.005|-4.76|9,000
509979|AIRASIAC79|0.050|0.045|0.045|-0.005|-10.00|2,090
509980|AIRASIAC80|0.050|0.050|0.050|0.000|0.00|7,000
5014|AIRPORT|7.650|7.730|7.690|+0.040|+0.52|19,253
5014C2|AIRPORT-C2|0.005|0.000|0.000|0.000|0.00|0
5014C4|AIRPORT-C4|0.035|0.000|0.000|0.000|0.00|0
5014C5|AIRPORT-C5|0.055|0.000|0.000|0.000|0.00|0
5014C6|AIRPORT-C6|0.120|0.000|0.000|0.000|0.00|0
5014C7|AIRPORT-C7|0.080|0.080|0.075|-0.005|-6.25|4,100
2682|AISB|0.255|0.255|0.255|0.000|0.00|41
2658|AJI|18.140|18.100|18.120|-0.020|-0.11|270
7609|AJIYA|0.540|0.000|0.000|0.000|0.00|0
7609WA|AJIYA-WA|0.095|0.000|0.000|0.000|0.00|0
5115|ALAM|0.120|0.120|0.110|-0.010|-8.33|180,436
5116|ALAQAR|1.340|1.340|1.340|0.000|0.00|390
2674|ALCOM|0.550|0.540|0.540|-0.010|-1.82|100
1163|ALLIANZ|14.480|14.580|14.300|-0.180|-1.24|216
1163PA|ALLIANZ-PA|14.300|0.000|0.000|0.000|0.00|0
5269|ALSREIT|0.850|0.850|0.850|0.000|0.00|73
1015|AMBANK|4.470|4.490|4.520|+0.050|+1.12|36,571
101510|AMBANK-C10|0.150|0.160|0.165|+0.015|+10.00|602
101511|AMBANK-C11|0.165|0.000|0.000|0.000|0.00|0
101512|AMBANK-C12|0.140|0.130|0.130|-0.010|-7.14|3,998
101513|AMBANK-C13|0.095|0.090|0.090|-0.005|-5.26|622
0159|AMEDIA|0.150|0.150|0.155|+0.005|+3.33|342
5120|AMFIRST|0.530|0.535|0.535|+0.005|+0.94|1,075
03011|AMLEX|0.180|0.000|0.000|0.000|0.00|0
1007|AMPROP|0.515|0.515|0.520|+0.005|+0.97|193
1007PA|AMPROP-PA|0.250|0.250|0.250|0.000|0.00|28
1007PB|AMPROP-PB|0.580|0.000|0.000|0.000|0.00|0
7031|AMTEL|0.665|0.665|0.665|0.000|0.00|10
5959|AMVERTON|1.230|1.200|1.200|-0.030|-2.44|2,330
6351|AMWAY|5.920|5.930|5.920|0.000|0.00|1,528
7083|ANALABS|1.180|0.000|0.000|0.000|0.00|0
4758|ANCOM|0.480|0.475|0.480|0.000|0.00|523
0048|ANCOMLB|0.085|0.085|0.085|0.000|0.00|570
6556|ANNJOO|1.520|1.530|1.530|+0.010|+0.66|3,667
6556PA|ANNJOO-PA|0.490|0.000|0.000|0.000|0.00|0
9342|ANZO|0.040|0.035|0.035|-0.005|-12.50|44,621
9342WA|ANZO-WA|0.005|0.000|0.000|0.000|0.00|0
9342WB|ANZO-WB|0.025|0.000|0.000|0.000|0.00|0
9342WC|ANZO-WC|0.005|0.005|0.005|0.000|0.00|3,100
5568|APB|0.700|0.665|0.665|-0.035|-5.00|59
5088|APEX|1.080|1.060|1.060|-0.020|-1.85|40
5194|APFT|0.020|0.020|0.020|0.000|0.00|112,044
5015|APM|3.000|3.000|3.010|+0.010|+0.33|111
6432|APOLLO|3.900|3.880|3.900|0.000|0.00|72
0119|APPASIA|0.090|0.090|0.090|0.000|0.00|100
0119WA|APPASIA-WA|0.035|0.000|0.000|0.000|0.00|0
7214|ARANK|0.550|0.535|0.530|-0.020|-3.64|389
7007|ARK|0.360|0.000|0.000|0.000|0.00|0
7007WB|ARK-WB|0.090|0.000|0.000|0.000|0.00|0
5210|ARMADA|0.185|0.190|0.185|0.000|0.00|262,290
521040|ARMADA-C40|0.005|0.000|0.000|0.000|0.00|0
521043|ARMADA-C43|0.005|0.000|0.000|0.000|0.00|0
521045|ARMADA-C45|0.005|0.000|0.000|0.000|0.00|0
521046|ARMADA-C46|0.005|0.000|0.000|0.000|0.00|0
521047|ARMADA-C47|0.005|0.000|0.000|0.000|0.00|0
521048|ARMADA-C48|0.005|0.000|0.000|0.000|0.00|0
521049|ARMADA-C49|0.005|0.000|0.000|0.000|0.00|0
521050|ARMADA-C50|0.015|0.000|0.000|0.000|0.00|0
5127|ARREIT|0.835|0.835|0.835|0.000|0.00|236
1481|ASB|0.140|0.140|0.140|0.000|0.00|5,482
0068|ASDION|0.270|0.270|0.275|+0.005|+1.85|19,205
0068WB|ASDION-WB|0.005|0.000|0.000|0.000|0.00|0
7722|ASIABRN|0.500|0.440|0.440|-0.060|-12.00|50
7129|ASIAFLE|2.560|2.550|2.500|-0.060|-2.34|462
4057|ASIAPAC|0.120|0.120|0.120|0.000|0.00|1,400
4057LC|ASIAPAC-LC|0.580|0.000|0.000|0.000|0.00|0
4057WB|ASIAPAC-WB|0.045|0.000|0.000|0.000|0.00|0
0105|ASIAPLY|0.080|0.000|0.000|0.000|0.00|0
0105PA|ASIAPLY-PA|0.035|0.000|0.000|0.000|0.00|0
0105WA|ASIAPLY-WA|0.015|0.015|0.015|0.000|0.00|2,455
0105WB|ASIAPLY-WB|0.025|0.000|0.000|0.000|0.00|0
7162|ASTINO|0.700|0.655|0.655|-0.045|-6.43|124
6399|ASTRO|1.570|1.550|1.550|-0.020|-1.27|16,013
639910|ASTRO-C10|0.115|0.000|0.000|0.000|0.00|0
639911|ASTRO-C11|0.110|0.000|0.000|0.000|0.00|0
639912|ASTRO-C12|0.080|0.075|0.075|-0.005|-6.25|100
639913|ASTRO-C13|0.075|0.070|0.070|-0.005|-6.67|2,000
639914|ASTRO-C14|0.065|0.000|0.000|0.000|0.00|0
0072|AT|0.045|0.050|0.050|+0.005|+11.11|200
0072WB|AT-WB|0.005|0.005|0.005|0.000|0.00|227
8176|ATAIMS|1.780|1.760|1.770|-0.010|-0.56|13,896
7048|ATLAN|4.480|4.450|4.500|+0.020|+0.45|113
5130|ATRIUM|1.110|1.110|1.110|0.000|0.00|687
7099|ATTA|0.620|0.620|0.610|-0.010|-1.61|250
7099LA|ATTA-LA|0.080|0.075|0.075|-0.005|-6.25|1
7099PA|ATTA-PA|0.130|0.125|0.125|-0.005|-3.85|609
7099WB|ATTA-WB|0.135|0.110|0.110|-0.025|-18.52|200
7099WC|ATTA-WC|0.090|0.000|0.000|0.000|0.00|0
7181|ATURMJU|0.340|0.335|0.365|+0.025|+7.35|37,899
7181PA|ATURMJU-PA|0.175|0.170|0.185|+0.010|+5.71|20,993
8885|AVI|0.200|0.195|0.150|-0.050|-25.00|265,990
7579|AWC|0.760|0.770|0.790|+0.030|+3.95|20,661
7579WA|AWC-WA|0.250|0.255|0.280|+0.030|+12.00|13,848
6888|AXIATA|4.210|4.180|4.270|+0.060|+1.43|34,880
688828|AXIATA-C28|0.020|0.000|0.000|0.000|0.00|0
688830|AXIATA-C30|0.040|0.000|0.000|0.000|0.00|0
688831|AXIATA-C31|0.040|0.000|0.000|0.000|0.00|0
688832|AXIATA-C32|0.110|0.000|0.000|0.000|0.00|0
688833|AXIATA-C33|0.180|0.180|0.180|0.000|0.00|300
688834|AXIATA-C34|0.180|0.180|0.180|0.000|0.00|4
688835|AXIATA-C35|0.145|0.000|0.000|0.000|0.00|0
688836|AXIATA-C36|0.200|0.000|0.000|0.000|0.00|0
688837|AXIATA-C37|0.090|0.090|0.085|-0.005|-5.56|4
5106|AXREIT|1.750|1.760|1.800|+0.050|+2.86|18,532
2305|AYER|4.600|4.400|4.310|-0.290|-6.30|19
5021|AYS|0.340|0.340|0.345|+0.005|+1.47|5,393
7078|AZRB|0.490|0.490|0.505|+0.015|+3.06|48,598
7078WA|AZRB-WA|0.240|0.240|0.250|+0.010|+4.17|3,171
0098|BAHVEST|0.660|0.665|0.675|+0.015|+2.27|71,377
0098WA|BAHVEST-WA|0.415|0.420|0.435|+0.020|+4.82|34,868
7251|BARAKAH|0.110|0.110|0.105|-0.005|-4.55|161,557
4162|BAT|34.720|35.000|35.480|+0.760|+2.19|2,633
4162CM|BAT-CM|0.065|0.065|0.065|0.000|0.00|52
4162CN|BAT-CN|0.130|0.000|0.000|0.000|0.00|0
4162CO|BAT-CO|0.075|0.075|0.070|-0.005|-6.67|4
5248|BAUTO|2.320|2.310|2.330|+0.010|+0.43|122,657
5248C1|BAUTO-C1|0.080|0.090|0.080|0.000|0.00|900
5248CY|BAUTO-CY|0.140|0.000|0.000|0.000|0.00|0
5248CZ|BAUTO-CZ|0.205|0.200|0.210|+0.005|+2.44|3,600
6602|BCB|0.295|0.290|0.290|-0.005|-1.69|2,071
0187|BCMALL|0.195|0.195|0.200|+0.005|+2.56|4,700
6173|BDB|0.455|0.465|0.465|+0.010|+2.20|5,182
5190|BENALEC|0.195|0.195|0.195|0.000|0.00|1,634
9814|BERTAM|0.275|0.000|0.000|0.000|0.00|0
8133|BHIC|1.200|1.210|1.180|-0.020|-1.67|55
7005|BIG|0.410|0.420|0.410|0.000|0.00|1,319
5258|BIMB|4.200|4.200|4.190|-0.010|-0.24|513
5258WA|BIMB-WA|0.250|0.250|0.250|0.000|0.00|1,611
0195|BINACOM|0.390|0.390|0.390|0.000|0.00|1,916
6998|BINTAI|0.135|0.135|0.135|0.000|0.00|4,680
6998WA|BINTAI-WA|0.045|0.000|0.000|0.000|0.00|0
0179|BIOHLDG|0.205|0.205|0.210|+0.005|+2.44|1,421
0179WA|BIOHLDG-WA|0.085|0.080|0.080|-0.005|-5.88|800
7243|BIOOSMO|0.055|0.055|0.055|0.000|0.00|33,606
5032|BIPORT|4.790|4.800|4.810|+0.020|+0.42|70
3239|BJASSET|0.300|0.300|0.305|+0.005|+1.67|1,098
3239WB|BJASSET-WB|0.060|0.000|0.000|0.000|0.00|0
3395|BJCORP|0.265|0.265|0.265|0.000|0.00|2,445,263
339510|BJCORP-C10|0.005|0.000|0.000|0.000|0.00|0
339511|BJCORP-C11|0.020|0.015|0.015|-0.005|-25.00|2,000
3395LD|BJCORP-LD|0.345|0.345|0.340|-0.005|-1.45|2,832
3395LE|BJCORP-LE|0.385|0.000|0.000|0.000|0.00|0
3395WB|BJCORP-WB|0.040|0.045|0.045|+0.005|+12.50|3,050
3395WC|BJCORP-WC|0.075|0.070|0.075|0.000|0.00|7,520
5196|BJFOOD|1.640|1.630|1.620|-0.020|-1.22|2,933
4219|BJLAND|0.270|0.265|0.260|-0.010|-3.70|22,921
6025|BJMEDIA|0.150|0.000|0.000|0.000|0.00|0
1562|BJTOTO|2.320|2.340|2.340|+0.020|+0.86|3,024
1562CW|BJTOTO-CW|0.060|0.000|0.000|0.000|0.00|0
1562CX|BJTOTO-CX|0.090|0.000|0.000|0.000|0.00|0
1899|BKAWAN|16.980|16.980|17.040|+0.060|+0.35|255
5069|BLDPLNT|6.720|0.000|0.000|0.000|0.00|0
0508C5|BOC-C5|0.130|0.000|0.000|0.000|0.00|0
0168|BOILERM|0.530|0.530|0.530|0.000|0.00|965
9288|BONIA|0.260|0.255|0.250|-0.010|-3.85|3,256
7036|BORNOIL|0.040|0.045|0.045|+0.005|+12.50|19,090
7036WC|BORNOIL-WC|0.020|0.000|0.000|0.000|0.00|0
7036WD|BORNOIL-WD|0.015|0.020|0.020|+0.005|+33.33|660
6297|BOXPAK|1.080|0.000|0.000|0.000|0.00|0
6297WA|BOXPAK-WA|0.175|0.000|0.000|0.000|0.00|0
5254|BPLANT|0.805|0.805|0.805|0.000|0.00|1,019
5100|BPPLAS|1.100|1.100|1.100|0.000|0.00|20
