"","PAA"
"3A","acddd"
"AASIA","dbcbb"
"AAX","cedca"
"ABFMY1","bebcc"
"ABLEGRP","bbbdc"
"ABMB","ecdca"
"ACME","ecccc"
"ACOSTEC","edcba"
"ADVCON","acddd"
"ADVENTA","dbadd"
"ADVPKG","bcccc"
"AEM","dcbbc"
"AEMULUS","dbdda"
"AEON","eddba"
"AEONCR","ecdda"
"AFFIN","ecdba"
"AFUJIYA","cddcb"
"AHB","aaddd"
"AHEALTH","eccca"
"AHP","dbadd"
"AIM","bbdeb"
"AIRASIA","ecdca"
"AIRASIAC59","ceccc"
"AIRASIAC67","dddca"
"AIRASIAC68","dccbb"
"AIRASIAC69","dbdbb"
"AIRASIAC70","eccba"
"AIRASIAC71","ddcca"
"AIRASIAC72","ddcca"
"AIRASIAC73","dcdbb"
"AIRASIAC74","bccce"
"AIRASIAC75","eabbd"
"AIRASIAC76","cddbb"
"AIRASIAC77","dedba"
"AIRASIAC78","ddcda"
"AIRASIAC79","ddacb"
"AIRASIAC80","cdbcb"
"AIRPORT","eddba"
"AISB","bcccd"
"AJI","edcaa"
"AJIYA","dddad"
"ALAM","bdebb"
"ALAQAR","cccae"
"ALCOM","cadcc"
"ALLIANZ","aadde"
"ALSREIT","adddd"
"AMBANK","bbebc"
"AMEDIA","ddcca"
"AMFIRST","bbebc"
"AMLEX","cccec"
"AMPROP","dabbe"
"AMTEK","abdeb"
"AMTEL","cdbdb"
"AMVERTON","baddd"
"AMWAY","ddcca"
"ANALABS","addcd"
"ANCOM","dccac"
"ANCOMLB","ddcca"
"ANNJOO","bebad"
"ANZO","cbcbc"
"APB","cbcdc"
"APEX","dddab"
"APFT","ccdcb"
"APM","dcbdc"
"APOLLO","dcdbc"
"APPASIA","ccdca"
"ARANK","bbcec"
"ARK","ebcbb"
"ARMADA","acddd"
"ARREIT","edbac"
"ASB","aaecd"
"ASDION","acecd"
"ASIABRN","dbdcb"
"ASIAFLE","bbddd"
"ASIAPAC","bbecc"
"ASIAPLY","ddcac"
"ASTINO","ccddb"
"ASTRO","ebdba"
"AT","ddbcb"
"ATAIMS","bbedb"
"ATLAN","bbcdd"
"ATRIUM","ecbbb"
"ATTA","dccdb"
"ATURMJU","ebbbb"
"AVI","eddaa"
"AWC","cdbcb"
"AXIATA","cbddb"
"AXREIT","abbee"
"AYER","dbbdb"
"AYS","dddac"
"AZRB","abdde"
"BAHVEST","acecd"
"BARAKAH","cddca"
"BAT","abbde"
"BAUTO","abedc"
"BCB","ccdbc"
"BCMALL","bddcb"
"BDB","abced"
"BENALEC","cdeba"
"BERTAM","badbe"
"BHIC","dddca"
"BIG","dddab"
"BIMB","cccbe"
"BINACOM","dddca"
"BINTAI","ebdbb"
"BIOHLDG","abedc"
"BIOOSMO","ccccc"
"BIPORT","dddda"
"BJASSET","cdccb"
"BJCORP","ebcac"
"BJFOOD","abddd"
"BJLAND","dddba"
"BJMEDIA","cddcb"
"BJTOTO","eabbe"
"BKAWAN","adddd"
"BLDPLNT","bbbde"
"BOILERM","dcccb"
"BONIA","bdeba"
"BORNOIL","dccdc"
"BOXPAK","edcbb"
"BPLANT","ecdca"
"BPPLAS","dddbb"
"BPURI","eccab"
"BRAHIMS","bedca"
"BREM","ddbdb"
"BRIGHT","ddccb"
"BSLCORP","bcdcb"
"BSTEAD","edeba"
"BTECH","abbee"
"BTM","ddcda"
"BURSA","ebcab"
"CAB","eadbb"
"CABNET","cddca"
"CAELY","dadbd"
"CAMRES","cbcbc"
"CANONE","abedd"
"CAP",""
"CAREPLS","ecdaa"
"CARIMIN","bbecb"
"CARING","daccc"
"CARLSBG","bbade"
"CBIP","acedb"
"CCB","cacce"
"CCK","ecbba"
"CCM","ddcac"
"CENSOF","ddcbb"
"CEPAT","ecbbc"
"CEPCO","bbddb"
"CFM","cdbcd"
"CHEETAH","ddccb"
"CHGP","dccbb"
"CHHB","ccdda"
"CHINHIN","ccccb"
"CHINTEK","bdccb"
"CHINWEL","dddba"
"CHOOBEE","dddab"
"CHUAN","bddad"
"CICB","bebbb"
"CIHLDG","ecacc"
"CIMB","eddba"
"CIMBA40","ddacb"
"CIMBC50","caddd"
"CJCEN","bddbb"
"CLOUD",""
"CME","ccbbd"
"CMMT","bdcdc"
"CMSB","addcd"
"CNASIA","cddbb"
"CNI","ddcbb"
"CNOUHUA","dbbbd"
"COASTAL","eecaa"
"COCOLND","dccac"
"COMCORP","edbdb"
"COMFORT","cbcae"
"COMPLET","dddba"
"COMPUGT","ceccc"
"CONNECT","cdcdb"
"CRESBLD","abded"
"CRESNDO","ccbcd"
"CRG","ddadd"
"CSCENIC","edcba"
"CSCSTEL","cdeba"
"CSL",""
"CUSCAPI","abecd"
"CVIEW","bcccc"
"CWG","bcdbc"
"CYL","dcbbc"
"CYMAO","ddbdb"
"CYPARK","eddaa"
"D&O","ebeba"
"DAIBOCI","bbcce"
"DAIMAN",""
"DANCO","aecdd"
"DATAPRP","bdecc"
"DAYA","abedd"
"DAYANG","bedbb"
"DBE","dbddb"
"DBHD","adecc"
"DEGEM",""
"DELEUM","edcbb"
"DESTINI","abedd"
"DGB","dcdbc"
"DGSB","eecba"
"DIALOG","ccdba"
"DIGI","baedc"
"DIGISTA","ebccb"
"DIN040000223","bcbcd"
"DIN042300721","cccce"
"DIN045801028","ecccc"
"DKLS","dccbb"
"DKSH","dddba"
"DLADY","eacbd"
"DNEX","ccdbb"
"DNONCE","eacbd"
"DOLMITE","dbcbd"
"DOLPHIN","ddcba"
"DOMINAN","caccc"
"DPHARMA","babde"
"DPIH","eecba"
"DPS","bcdcd"
"DRBHCOM","baddd"
"DRBHCOMC60","daecc"
"DRBHCOMC62",""
"DRBHCOMC63",""
"DRBHCOMC64","cbebb"
"DRBHCOMC66","cccec"
"DRBHCOMC67","eccbb"
"DRBHCOMC68","dadbc"
"DRBHCOMC69","ddbbb"
"DRBHCOMC70","baecc"
"DRBHCOMC71","dbdbc"
"DRBHCOMC72","badcd"
"DRBHCOMC73","bbdcc"
"DSONIC","abecd"
"DUFU","ebcbe"
"DUTALND","dddba"
"DYNACIA","edbca"
"E&O","aaddd"
"EAH","ccdcb"
"EASTLND","ccdca"
"EATECH","abdcd"
"ECM","ddcbb"
"ECOFIRS","cddcb"
"ECOHLDS","acdcd"
"ECONBHD","adbbe"
"ECOWLD","ecdba"
"EDARAN","edcaa"
"EDEN","aadde"
"EDGENTA","ecbbc"
"EDUSPEC","cadcd"
"EFFICEN","acddd"
"EFORCE","ecdba"
"EG","cbcdc"
"EIG","cbccc"
"EITA","eebba"
"EKA","cccdb"
"EKOVEST","eecaa"
"EKSONS","dcbcb"
"ELKDESA","aecbc"
"ELSOFT","eddba"
"EMETALL","abbed"
"EMICO","dcadc"
"ENCORP","ddbca"
"ENGKAH","cbddb"
"ENGTEX","cddda"
"ENRA","cbdcc"
"EPMB","acccd"
"ESAFE","ccebd"
"ESCERAM","cebdb"
"EUPE","dcccb"
"EURO","bdccb"
"EUROSP","bcccc"
"EVERGRN","bcedb"
"EWEIN","eccba"
"EWINT","adeca"
"F&N","eecab"
"FACBIND","ddadc"
"FAJAR","bedba"
"FAREAST","ebdab"
"FARLIM","bdbdd"
"FAVCO","dddbb"
"FCW","ecbbb"
"FGV","dbbdc"
"FIAMMA","ddbbd"
"FIBON","dcbdc"
"FIHB","aaded"
"FIMACOR","dcbcc"
"FINTEC","bbdce"
"FITTERS","edcaa"
"FLBHD","eccba"
"FOCUS","cdcca"
"FOCUSP","edcba"
"FPGROUP","eccbc"
"FPI","dceba"
"FREIGHT","abddd"
"FRONTKN","cdbbd"
"FSBM",""
"G3","dcbbc"
"GADANG","addcd"
"GAMUDA","edcba"
"GASMSIA","ccdda"
"GBGAQRS","abcce"
"GCB","dddca"
"GCE","dbddb"
"GDB","acdbe"
"GDEX","dbddb"
"GENETEC","edbab"
"GENM","dddca"
"GENP","bcecc"
"GENTING","edcba"
"GENTINGC51",""
"GENTINGC55",""
"GENTINGC56",""
"GENTINGC57","edcba"
"GENTINGC58","bddcb"
"GENTINGC59","ddcbb"
"GENTINGC60","dadcc"
"GENTINGC61","edbbb"
"GENTINGC62","ebdbb"
"GENTINGC63","cccbd"
"GENTINGC64","ebbdb"
"GESHEN","cddad"
"GETS","cbbce"
"GFM","beebb"
"GHLSYS","dbabe"
"GKENT","aecbc"
"GLBHD","bcddc"
"GLOMAC","eccbb"
"GLOTEC","cddbb"
"GMUTUAL","edbbc"
"GNB","ccdac"
"GOB","ccbdc"
"GOCEAN","bcbcd"
"GOLDETF","ccadd"
"GOODWAY","bedca"
"GOPENG","cccbd"
"GPA","bdddb"
"GPACKET","dbebb"
"GPHAROS","addcb"
"GRANFLO","ddccb"
"GREENYB","acddc"
"GSB","becbb"
"GTRONIC","edbab"
"GUH","dcbcb"
"GUNUNG","ddcbb"
"GUOCO","cddad"
"HAIO","edcca"
"HALEX","adddc"
"HANDAL","bbedb"
"HAPSENG","ccdbb"
"HARBOUR","cbdcc"
"HARISON","dcbcc"
"HARNLEN","cdcda"
"HARTA","ebdab"
"HBGLOB","abedc"
"HCK","ecdbb"
"HEIM","bbbbe"
"HEKTAR","edaac"
"HENGYUAN","dddaa"
"HEVEA","becbb"
"HEXZA","ccdca"
"HHGROUP","dbccc"
"HHHCORP","adcdb"
"HIAPTEK","cdeca"
"HIBISCS","cabde"
"HIGHTEC","dbdcb"
"HIL","abcde"
"HLBANK","ecdaa"
"HLCAP",""
"HLFG","ecdba"
"HLIND","bcebc"
"HLT","dddba"
"HOHUP","acdbe"
"HOKHENG","cacdd"
"HOMERIZ","dcdca"
"HOOVER","caddd"
"HSL","dddab"
"HSPLANT","dcbdb"
"HSSEB","acbde"
"HTPADU","dadbd"
"HUAAN","abddd"
"HUAYANG","bedbb"
"HUBLINE","ceacc"
"HUMEIND","bdcbd"
"HUPSENG","edcaa"
"HWATAI","addbc"
"HWGB","dccac"
"IBHD","acedd"
"IBRACO","bdddc"
"ICAP","ccccc"
"ICON","addcc"
"IDEAL","ecabc"
"IDMENSN","bcbbe"
"IFCAMSC","aedbd"
"IGBB","bbbce"
"IGBREIT","aacde"
"IHH","ddcba"
"IHS046000824","cccec"
"IJM","abcde"
"IJMPLNT","cbbcd"
"IKHMAS","abddd"
"ILB","bddcc"
"IMASPRO","dedba"
"INARI","ebacc"
"INCKEN","badcd"
"INIX","bbbbe"
"INNITY","cdbbc"
"INNO","ccdbb"
"INSAS","ddcba"
"INTA","bbbdd"
"IOICORP","dbeba"
"IOIPG","edcba"
"IPMUDA","bbdbd"
"IQGROUP","dddac"
"IREKA","bcccd"
"IRETEX","aacee"
"IRIS","aacce"
"ITRONIC","bccdb"
"IVORY","adddd"
"IWCITY","bdebb"
"JADI","ccdca"
"JAG","cceca"
"JAKS","adddd"
"JASKITA","dcdcb"
"JAYCORP","abced"
"JCBNEXT","dcdca"
"JCY","cedbb"
"JERASIA","cddda"
"JETSON","dbcdc"
"JFTECH","bccdb"
"JHM","babee"
"JIANKUN","cbbdd"
"JKGLAND","abddd"
"JMEDU",""
"JMR","ecbcc"
"JOHAN","dddca"
"JOHOTIN","cdeba"
"JTIASA","eddba"
"K1","eddba"
"KAB","ecbac"
"KAMDAR",""
"KANGER","ceccb"
"KAREX","acdbd"
"KARYON","cbeca"
"KAWAN","dbdda"
"KBUNAI","adddd"
"KEINHIN","bdbbd"
"KEN","bdbeb"
"KENANGA","ecbac"
"KERJAYA","debba"
"KESM","edbbb"
"KEYASIC","ddeab"
"KFIMA","adddd"
"KFM","cecbb"
"KGB","cbebc"
"KGROUP","bcebc"
"KHEESAN","dcdda"
"KHIND","cabdd"
"KIALIM","cdbbc"
"KIANJOO","acddd"
"KIMHIN","dccbd"
"KIMLUN","dadcc"
"KINSTEL",""
"KIPREIT","abcde"
"KKB","ccdcb"
"KLCC","dcbbd"
"KLK","cdeab"
"KLUANG","dddbb"
"KMLOONG","ddbbc"
"KNM","abedd"
"KNUSFOR","dbccb"
"KOBAY","ddbad"
"KOMARK","aacee"
"KOSSAN","ecdaa"
"KOTRA","edbbc"
"KPJ","dddca"
"KPOWER","bccdb"
"KPS","abedd"
"KPSCB","dcdcb"
"KRETAM","dddda"
"KRONO","edcab"
"KSENG","bcecb"
"KSL","aecdb"
"KSSC","edabc"
"KSTAR","ecadc"
"KTB","bcbbe"
"KTC","dbeca"
"KUB","edbab"
"KUCHAI","ddcca"
"KWANTAS","bcebd"
"KYM","ecbcb"
"L&G","cbecb"
"LAFMSIA","acbce"
"LAMBO","abdec"
"LANDMRK","debbc"
"LATITUD","dddba"
"LAYHONG","cbebb"
"LBALUM","ccdbc"
"LBICAP","caccd"
"LBS","edcba"
"LCTITAN","edcba"
"LEBTECH","cbbdc"
"LEESK","dddbb"
"LEONFB","ccccb"
"LEWEKO","debbc"
"LFECORP","ddcbc"
"LIENHOE","dcccc"
"LIIHEN","dddba"
"LIONFIB","dcdbb"
"LIONIND","becbb"
"LITRAK","cdcbb"
"LKL","bcddb"
"LONBISC","decab"
"LPI","eccba"
"LSTEEL","dddbb"
"LTKM","dddac"
"LUSTER","dbddb"
"LUXCHEM","edcba"
"LYC","debbb"
"LYSAGHT","bddbb"
"M&G","adcdd"
"M3TECH","cbcbe"
"MAA","abddd"
"MAGNA","ddbbc"
"MAGNI","badec"
"MAGNUM","cebbc"
"MAHSING","ebcbc"
"MALAKOF","daddc"
"MALAKOFC12","debbb"
"MALAKOFC13",""
"MALAKOFC14",""
"MALAKOFC15","bcddb"
"MALAKOFC16","ecdba"
"MALAKOFC17",""
"MALAKOFC18","dbdcb"
"MALAKOFC19","cdccc"
"MALAKOFC20","bcdbd"
"MALAKOFC21","ecdbb"
"MALPAC","dbbdb"
"MALTON","dedaa"
"MANULFE","ccbcc"
"MARCO","cccca"
"MASTEEL","aecbd"
"MASTER","abddd"
"MATANG","cccce"
"MATRIX","dddba"
"MAXIS","bbcdc"
"MAXWELL",""
"MAYBANK","eddaa"
"MAYBANKC43","edcbb"
"MAYBANKC44","ddbdb"
"MAYBANKC45","ebbbb"
"MAYBANKC46","ecbbc"
"MAYBANKC47",""
"MAYBANKC48",""
"MAYBANKC49","cddbb"
"MAYBANKC50","eabcc"
"MAYBANKC51","ebbcb"
"MAYBANKC52","eddaa"
"MAYBANKC53",""
"MAYBULK","edcba"
"MBG","ccbbe"
"MBL","abcde"
"MBMR","acecc"
"MBSB","edcaa"
"MBWORLD","cbccc"
"MCEHLDG","cccdb"
"MCLEAN","dbacd"
"MCT","cbddb"
"MEDAINC","becbc"
"MEDIA","cdeca"
"MEDIAC","ebdca"
"MEGASUN","bccdc"
"MELATI","dbdca"
"MELEWAR","ccdac"
"MENANG","cddca"
"MENTIGA","abdcc"
"MERCURY","cdccb"
"MERGE","ccccb"
"MESB","ddcda"
"METFAPA","cccce"
"METFSID","ccecc"
"METFUS50","bbcec"
"METROD","ecccc"
"MFCB","bddbc"
"MFGROUP",""
"MFLOUR","adccd"
"MGB","dccca"
"MGRC","eccbb"
"MHB","bcecc"
"MHC","ddbdb"
"MHCARE","ccdbd"
"MI","ecbac"
"MICROLN","cddbb"
"MIECO","cdeba"
"MIKROMB","dccca"
"MILUX","bcbdc"
"MINDA","cdbcc"
"MINETEC","ccadd"
"MINHO","cdeca"
"MISC","ebdba"
"MITRA","addcd"
"MJPERAK","acddc"
"MKH","bdccc"
"MKLAND","ddbca"
"MLAB","dcdcb"
"MMAG","bdcbc"
"MMCCORP","eecba"
"MMSV","eccbb"
"MNC","bcdcc"
"MNRB","acdcd"
"MPAY","dcbae"
"MPCORP",""
"MPHBCAP","edcaa"
"MPI","dbdbb"
"MQREIT","babde"
"MQTECH","acddc"
"MRCB","bbbce"
"MSC","dbdcb"
"MSM","edcba"
"MSNIAGA","dddbb"
"MSPORTS","dbdbd"
"MTDACPI","acecc"
"MTOUCHE","bbddb"
"MTRONIC","dadcc"
"MUDA","eadbb"
"MUDAJYA","acbde"
"MUH","dccbc"
"MUHIBAH","eadcc"
"MUIIND","dddca"
"MUIPROP","ebccb"
"MULPHA","ebcba"
"MYCRON","cddca"
"MYEG","accde"
"MYETFDJ","ebbbd"
"MYETFID","cbccd"
"MYKRIS","dbbbd"
"MYNEWS","dccca"
"N2N","eddaa"
"NADIBHD","bddbc"
"NAIM","acdcd"
"NATWIDE","bceda"
"NESTLE","deeaa"
"NETX","dcabc"
"NEXGRAM","ddbad"
"NGGB","bddbc"
"NHFATT","ebbcb"
"NICE","ddadb"
"NIHSIN","cedab"
